,gene,cell_type,p_val,logFC,p_val_adj,SnG_score,hallmarker,batches,gene_cell_type
203,CDKN1C,"Endothelial, Epithelial",0.8693270305676968,0.908717475,1.0,0.0026306876679882,True,2,"CDKN1C_Endothelial, Epithelial"
204,CDKN1B,Immune,0.0029835908391047,0.81756735,0.0088818939292626,0.0003112176200374,True,2,CDKN1B_Immune
205,CDK6,Epithelial,0.6406878919915286,0.41330156,0.9827749459233346,0.0008925450965762,True,2,CDK6_Epithelial
206,CCL26,Endothelial,0.9874944506535348,1.3516694,1.0,0.0081295790150761,True,2,CCL26_Endothelial
207,CCL20,Endothelial,0.9583536564757656,0.38570362,1.0,0.0009577313903719,True,2,CCL20_Endothelial
208,C19orf84,Endothelial,0.9294620479278972,22.895943,1.0,0.0310097057372331,False,2,C19orf84_Endothelial
209,C12orf50,Mesenchymal,0.9975914556872102,0.77021563,1.0,0.0343078412115573,False,2,C12orf50_Mesenchymal
210,BTN1A1,Endothelial,0.9681277442211824,1.7293502,1.0,0.034438706934452,False,2,BTN1A1_Endothelial
211,BTLA,"Mesenchymal, Immune",0.9682108167201788,2.4050654,1.0,0.0326536986976861,False,2,"BTLA_Mesenchymal, Immune"
212,BLK,Immune,0.2506107978370415,2.2279942,0.4354313368212869,0.0105114188045263,True,2,BLK_Immune
213,BHLHE40,Immune,4.146055428296645e-07,0.7633272,2.82004666802032e-06,0.000195060216356,True,2,BHLHE40_Immune
214,BCL2L15,Mesenchymal,0.9560439561629424,20.767115,1.0,0.0337783358991146,False,2,BCL2L15_Mesenchymal
215,AXL,Epithelial,0.75272549166715,0.821319,1.0,0.0003595775342546,True,2,AXL_Epithelial
216,ATM,Immune,0.2855713970677422,0.32036966,0.4855435444705245,0.0003717231738846,True,2,ATM_Immune
217,AREG,Immune,0.9575509505295754,0.39598763,1.0,0.0011425135890021,True,2,AREG_Immune
218,ALDH1A3,"Endothelial, Epithelial",0.8308961999163622,0.48251202,1.0,0.0009176056773867,True,2,"ALDH1A3_Endothelial, Epithelial"
219,ING1,"Immune, Endothelial",0.6654993636258858,0.255747685,0.965801518670248,0.0019488558755256,True,2,"ING1_Immune, Endothelial"
220,CDKN2AIP,Epithelial,0.6162275763109444,0.58928984,0.96327967631433,0.0008201482705771,True,2,CDKN2AIP_Epithelial
221,CDKN2D,Immune,0.6281015273636266,0.69430584,0.9024281944946196,0.0011448038276284,True,2,CDKN2D_Immune
222,BCL6,Epithelial,0.4496882919110162,0.46923682,0.8071542314152725,0.0003199925122316,True,2,BCL6_Epithelial
223,CXCL14,"Mesenchymal, Endothelial, Epithelial",0.8122627079498979,2.1316136,0.9538108028732458,0.0092334387203057,True,2,"CXCL14_Mesenchymal, Endothelial, Epithelial"
224,IL1A,Endothelial,0.9939090240759656,1.7387811,1.0,0.0031636767089366,True,2,IL1A_Endothelial
225,IGSF1,Mesenchymal,0.9975914556872102,1.4503368,1.0,0.0311853867024183,False,2,IGSF1_Mesenchymal
226,IFIT1B,Immune,0.9610661212786538,3.1293674,1.0,0.0326521657407283,False,2,IFIT1B_Immune
227,ICAM3,"Immune, Endothelial, Epithelial",0.8874479492041889,0.54168622,1.0,0.0016314975994949,True,2,"ICAM3_Immune, Endothelial, Epithelial"
